ID,Title,Mean,Episodes,Rating,Popularity,Genres
67,Basilisk: Kouga Ninpou Chou,7.53,24,r,1353,"Action, Adult Cast, Drama, Gore, Historical, Martial Arts, Romance, Samurai, Seinen"
2214,Black Jack 21,7.53,17,pg_13,6010,"Action, Drama, Medical, Shounen"
54865,Blue Lock vs. U-20 Japan,7.53,14,pg_13,880,"Shounen, Sports, Team Sports"
49613,Chiyu Mahou no Machigatta Tsukaikata,7.53,13,pg_13,902,"Action, Adventure, Fantasy, Isekai"
38410,Cike Wu Liuqi Fanwai,7.53,4,r,4538,"Action, Comedy, Drama, Martial Arts, Mystery, Romance, Super Power"
4182,Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,7.53,1,r,1763,"Comedy, Parody"
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.53,13,pg_13,76,"Action, Adventure, Fantasy"
28539,Garo Movie: Divine Flame,7.53,1,r+,4822,"Action, Fantasy"
7661,Giant Killing,7.53,26,pg_13,2791,"Adult Cast, Drama, Seinen, Sports, Team Sports"
1301,Ginga Tetsudou 999 (Movie),7.53,1,pg_13,5071,"Adventure, Drama, Fantasy, Sci-Fi, Space"
14131,Girls & Panzer,7.53,12,pg_13,827,"Action, CGDCT, Military, School"
6372,Higashi no Eden Movie I: The King of Eden,7.53,1,pg_13,1515,"Adult Cast, Mystery, Psychological, Romance, Sci-Fi, Suspense"
47410,Initial D Battle Stage 3,7.53,1,pg_13,7319,"Action, Racing, Seinen"
51462,Isekai Nonbiri Nouka,7.53,12,pg_13,1000,"Fantasy, Isekai, Slice of Life"
2012,Jigoku Sensei Nube,7.53,49,pg_13,4932,"Comedy, Horror, Mythology, School, Shounen, Supernatural"
41918,Juan Siliang,7.53,15,pg_13,11017,"Action, Fantasy"
52308,Kanojo ga Koushaku-tei ni Itta Riyuu,7.53,12,pg_13,1426,"Fantasy, Isekai, Reincarnation, Romance"
6624,Kara no Kyoukai Remix: Gate of Seventh Heaven,7.53,1,r,3466,"Action, Fantasy, Mystery, Romance, Suspense"
56352,"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",7.53,12,pg_13,1240,"Romance, Time Travel, Villainess"
1418,"Lupin III: Episode 0 ""First Contact""",7.53,1,r,6427,"Action, Adult Cast, Adventure, Comedy, Mystery, Seinen"
35984,Mahou Shoujo Lyrical Nanoha: Detonation,7.53,1,pg_13,6993,"Action, Comedy, Drama, Mahou Shoujo"
3673,Nijuu Mensou no Musume,7.53,22,pg_13,4126,"Action, Adventure, Mystery, Seinen"
34134,One Punch Man 2nd Season,7.53,12,r,56,"Action, Adult Cast, Comedy, Parody, Seinen, Super Power"
708,Patapata Hikousen no Bouken,7.53,26,pg_13,7173,"Adventure, Sci-Fi"
37407,Penguin Highway,7.53,1,pg,2292,"Fantasy, Mystery, Sci-Fi"
50663,Poputepipikku 2nd Season,7.53,11,pg_13,3523,"Comedy, Gag Humor, Parody"
37807,Princess Principal: Crown Handler 1,7.53,1,r,3676,"Action, Historical, Mystery"
23135,PriPara,7.53,140,pg,4952,"Idols (Female), Music, School, Slice of Life"
59846,Saigo ni Hitotsu dake Onegai shitemo Yoroshii deshou ka,7.53,13,pg_13,2134,"Action, Comedy, Fantasy, Romance, Villainess"
15989,Saki Achiga-hen: Episode of Side-A Specials,7.53,4,pg_13,5901,"School, Slice of Life, Strategy Game"
55740,Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,7.53,15,pg_13,14717,"Action, Adventure, Fantasy"
11371,Shin Tennis no Oujisama,7.53,13,pg_13,2955,"School, Shounen, Sports"
1557,Shounen Onmyouji,7.53,26,pg_13,3180,"Action, Historical, Mythology, Shoujo, Supernatural"
6802,So Ra No Wo To,7.53,12,pg_13,1569,"CGDCT, Iyashikei, Military, Music, Sci-Fi, Slice of Life"
9790,Sora no Otoshimono: Tokeijikake no Angeloid,7.53,1,r,1851,"Comedy, Ecchi, Harem, Romance, Sci-Fi, Shounen, Supernatural"
1372,Taiho Shichau zo (TV),7.53,47,pg_13,3856,"Action, Adult Cast, Comedy, Seinen, Workplace"
567,The Big O,7.53,26,pg_13,2246,"Adult Cast, Mecha, Mystery, Psychological, Sci-Fi"
31711,To LOVE-Ru Darkness 2nd Specials,7.53,2,r+,2272,"Comedy, Ecchi, Harem, Romance, School, Sci-Fi, Shounen"
18139,Tonari no Seki-kun,7.53,21,g,1074,"Comedy, School, Seinen"
54726,"Tsuma, Shougakusei ni Naru.",7.53,12,pg_13,3008,"Comedy, Reincarnation, Romance, Seinen"
34902,Tsurezure Children,7.53,12,pg_13,289,"Comedy, Romance, School, Shounen"
1830,Utawarerumono Specials,7.53,6,pg_13,5789,"Action, Comedy, Drama, Fantasy"
34374,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,7.53,1,pg_13,5824,"Drama, Mahou Shoujo"
39921,Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie,7.52,1,g,3248,"Fantasy, Isekai"
2498,Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,7.52,1,pg_13,5431,"School, Shounen, Sports, Team Sports"
8197,So Ra No Wo To Specials,7.52,2,pg_13,4664,"CGDCT, Iyashikei, Military, Music, Sci-Fi, Slice of Life"
43556,Tsurune Movie: Hajimari no Issha,7.52,1,pg_13,5249,"School, Sports"
32681,Uchuu Patrol Luluco,7.52,13,pg_13,1645,"Action, Adventure, Comedy, Parody, Sci-Fi, Space"
28677,Yamada-kun to 7-nin no Majo,7.52,12,pg_13,253,"Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural"
38435,Yao Shen Ji 3rd Season,7.52,40,pg_13,7236,"Action, Adventure, Fantasy, Martial Arts, Romance"
50274,Yao Shen Ji 5th Season,7.52,52,pg_13,9294,"Action, Adventure, Fantasy, Martial Arts, Romance"
50114,Yuan Zun,7.52,26,pg_13,11325,"Action, Adventure, Fantasy, Martial Arts"
28771,Yu☆Gi☆Oh! The Dark Side of Dimensions,7.52,1,pg_13,2553,"Adventure, Shounen, Strategy Game"
37996,Asobi Asobase: Cosplay Taikai/Otona no Watashi e,7.52,1,pg_13,3358,"Comedy, Gag Humor, School, Seinen"
36896,Boku no Hero Academia the Movie 1: Futari no Hero,7.52,1,pg_13,273,"Action, Shounen, Super Power"
56196,Boku no Hero Academia the Movie 4: You're Next,7.52,1,pg_13,2645,"Action, School, Shounen, Super Power"
56165,Boukyaku Battery (TV),7.52,12,pg_13,3572,"Comedy, School, Shounen, Sports, Team Sports"
3744,Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,7.52,1,g,8260,"Award Winning, Drama, Historical, Romance, Samurai, Seinen"
